WKT,id,name,alt_name,latitude,longitude
"POINT (97.0253 4.36855)",11.0,ACEH,ACEH,4.36855,97.0253
"POINT (99.38122 2.19235)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.19235,99.38122
"POINT (100.757254 -0.699641)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.699641,100.757254
"POINT (101.54758 0.50041)",14.0,RIAU,RIAU,0.50041,101.54758
"POINT (102.7797 -1.61157)",15.0,JAMBI,JAMBI,-1.61157,102.7797
"POINT (103.9007956 -3.2638102)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.2638102,103.9007956
"POINT (102.53598 -3.51868)",17.0,BENGKULU,BENGKULU,-3.51868,102.53598
"POINT (105.2800221 -4.7021612)",18.0,LAMPUNG,LAMPUNG,-4.7021612,105.2800221
"POINT (107.9519816 -2.8661104)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.8661104,107.9519816
"POINT (101.6909657 0.2297405)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,0.2297405,101.6909657
